Procedure Code,Procedure,Note
IC-,"1. Butterworth with ambient temperature sea water for 1,5 hours
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
ID,"Lead-compounds are completely soluble in Nitric Acid. In case of stainless steel, passivation of the tank is an effective method for Lead removal. For coatings a Lead Clean or Buffer Clean pH 5,5 can be used to lower the actual Lead content.

1. Butterworth with ambient temperature sea water for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 40 °C to 60 °C for 1,5 hours and use one of these cleaners:
- Lead cleaner
- Buffer clean ph 5,5 (zinc)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)",
ID+,"Lead-compounds are completely soluble in Nitric Acid. In case of stainless steel, passivation of the tank is an effective method for Lead removal. For coatings a Lead Clean or Buffer Clean pH 5,5 can be used to lower the actual Lead content.

1. Butterworth with ambient temperature sea water for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 40 °C to 60 °C for 1,5 hours and use one of these cleaners:
- Lead cleaner
- Buffer clean ph 5,5 (zinc)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
ID-,"Lead-compounds are completely soluble in Nitric Acid. In case of stainless steel, passivation of the tank is an effective method for Lead removal. For coatings a Lead Clean or Buffer Clean pH 5,5 can be used to lower the actual Lead content.

1. Butterworth with ambient temperature sea water for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 40 °C to 60 °C for 1,5 hours and use one of these cleaners:
- Lead cleaner
- Buffer clean ph 5,5 (zinc)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
IE,"Lead-compounds are completely soluble in Nitric Acid. In case of stainless steel, passivation of the tank is an effective method for Lead removal. For coatings a Lead Clean or Buffer Clean pH 5,5 can be used to lower the actual Lead content.

1. Butterworth with ambient temperature sea water for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Optional Recirculation in fresh water at 40 °C to 60 °C for 1,5 hours and use one of these cleaners:
- Lead cleaner
- Buffer clean ph 5,5 (zinc)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)",
IE+,"Lead-compounds are completely soluble in Nitric Acid. In case of stainless steel, passivation of the tank is an effective method for Lead removal. For coatings a Lead Clean or Buffer Clean pH 5,5 can be used to lower the actual Lead content.

1. Butterworth with ambient temperature sea water for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Optional Recirculation in fresh water at 40 °C to 60 °C for 1,5 hours and use one of these cleaners:
- Lead cleaner
- Buffer clean ph 5,5 (zinc)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
7. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
IE-,"Lead-compounds are completely soluble in Nitric Acid. In case of stainless steel, passivation of the tank is an effective method for Lead removal. For coatings a Lead Clean or Buffer Clean pH 5,5 can be used to lower the actual Lead content.

1. Butterworth with ambient temperature sea water for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Optional Recirculation in fresh water at 40 °C to 60 °C for 1,5 hours and use one of these cleaners:
- Lead cleaner
- Buffer clean ph 5,5 (zinc)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
7. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
IF,"Residues of dye can be removed using a solution of 1-2% of sodium hypochlorite (bleach) in fresh water. (Sodium hypochlorite is typically delivered as a 12,5 to 15% solution in water). Butterworth the tank with the prepared solution by recirculation. The washing water temperature should not exceed 40° C.

1. Butterworth with ambient temperature sea water for 1,5 hours (Ambient temperature because of dye)
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 20 °C to 40 °C for 1,5 hours and use one of these cleaners:
- Bleach
(1-2% of a standard Sodium Hypochlorite solution (12,5-15%), Flush sufficiently to remove cleaner)",
IF+,"Residues of dye can be removed using a solution of 1-2% of sodium hypochlorite (bleach) in fresh water. (Sodium hypochlorite is typically delivered as a 12,5 to 15% solution in water). Butterworth the tank with the prepared solution by recirculation. The washing water temperature should not exceed 40° C.

1. Butterworth with ambient temperature sea water for 1,5 hours (Ambient temperature because of dye)
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 20 °C to 40 °C for 1,5 hours and use one of these cleaners:
- Bleach
(1-2% of a standard Sodium Hypochlorite solution (12,5-15%), Flush sufficiently to remove cleaner)
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
IF-,"Residues of dye can be removed using a solution of 1-2% of sodium hypochlorite (bleach) in fresh water. (Sodium hypochlorite is typically delivered as a 12,5 to 15% solution in water). Butterworth the tank with the prepared solution by recirculation. The washing water temperature should not exceed 40° C.

1. Butterworth with ambient temperature sea water for 1,5 hours (Ambient temperature because of dye)
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 20 °C to 40 °C for 1,5 hours and use one of these cleaners:
- Bleach
(1-2% of a standard Sodium Hypochlorite solution (12,5-15%), Flush sufficiently to remove cleaner)
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
IG,"Residues of dye can be removed using a solution of 1-2% of sodium hypochlorite (bleach) in fresh water. (Sodium hypochlorite is typically delivered as a 12,5 to 15% solution in water). Butterworth the tank with the prepared solution by recirculation. The washing water temperature should not exceed 40° C.

1. Butterworth with ambient temperature sea water for 1,5 hours (Ambient temperature because of dye)
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Optional Recirculation in fresh water at 20 °C to 40 °C for 1,5 hours and use one of these cleaners:
- Bleach
(1-2% of a standard Sodium Hypochlorite solution (12,5-15%), Flush sufficiently to remove cleaner)",
IG+,"Residues of dye can be removed using a solution of 1-2% of sodium hypochlorite (bleach) in fresh water. (Sodium hypochlorite is typically delivered as a 12,5 to 15% solution in water). Butterworth the tank with the prepared solution by recirculation. The washing water temperature should not exceed 40° C.

1. Butterworth with ambient temperature sea water for 1,5 hours (Ambient temperature because of dye)
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Optional Recirculation in fresh water at 20 °C to 40 °C for 1,5 hours and use one of these cleaners:
- Bleach
(1-2% of a standard Sodium Hypochlorite solution (12,5-15%), Flush sufficiently to remove cleaner)
7. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
IG-,"Residues of dye can be removed using a solution of 1-2% of sodium hypochlorite (bleach) in fresh water. (Sodium hypochlorite is typically delivered as a 12,5 to 15% solution in water). Butterworth the tank with the prepared solution by recirculation. The washing water temperature should not exceed 40° C.

1. Butterworth with ambient temperature sea water for 1,5 hours (Ambient temperature because of dye)
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Optional Recirculation in fresh water at 20 °C to 40 °C for 1,5 hours and use one of these cleaners:
- Bleach
(1-2% of a standard Sodium Hypochlorite solution (12,5-15%), Flush sufficiently to remove cleaner)
7. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
IH,"1. Butterworth with sea water at 35 °C to 40 °C for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Recirculation in fresh water at 60 °C to 70 °C for 1,5 hours and use one of these cleaners:
- Alkaline (caustic potash)
- Alkaline (caustic soda)
- Detergent
- Alkaline safety (zinc)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry",
IH+,"1. Butterworth with sea water at 35 °C to 40 °C for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Recirculation in fresh water at 60 °C to 70 °C for 1,5 hours and use one of these cleaners:
- Alkaline (caustic potash)
- Alkaline (caustic soda)
- Detergent
- Alkaline safety (zinc)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
IH-,"1. Butterworth with sea water at 35 °C to 40 °C for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Recirculation in fresh water at 60 °C to 70 °C for 1,5 hours and use one of these cleaners:
- Alkaline (caustic potash)
- Alkaline (caustic soda)
- Detergent
- Alkaline safety (zinc)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
IJ,"1. Butterworth with sea water at 35 °C to 40 °C for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry",
IJ+,"1. Butterworth with sea water at 35 °C to 40 °C for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
IJ-,"1. Butterworth with sea water at 35 °C to 40 °C for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
K,"1. Butterworth with sea water at 35 °C to 40 °C for 1 hour (Max 40°C to avoid the formation of sticky residues)
2. Butterworth with sea water at 65 °C to 70 °C for 2 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry",
K+,"1. Butterworth with sea water at 35 °C to 40 °C for 1 hour (Max 40°C to avoid the formation of sticky residues)
2. Butterworth with sea water at 65 °C to 70 °C for 2 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
K-,"1. Butterworth with sea water at 35 °C to 40 °C for 1 hour (Max 40°C to avoid the formation of sticky residues)
2. Butterworth with sea water at 65 °C to 70 °C for 2 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
KA,"1. Butterworth with sea water at 35 °C to 40 °C for 1 hour (Max 40°C to avoid the formation of sticky residues)
2. Butterworth with sea water at 65 °C to 70 °C for 1,5 hours
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry",
KA+,"1. Butterworth with sea water at 35 °C to 40 °C for 1 hour (Max 40°C to avoid the formation of sticky residues)
2. Butterworth with sea water at 65 °C to 70 °C for 1,5 hours
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
KA-,"1. Butterworth with sea water at 35 °C to 40 °C for 1 hour (Max 40°C to avoid the formation of sticky residues)
2. Butterworth with sea water at 65 °C to 70 °C for 1,5 hours
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
M,"Acrylates are liable to polymerisation and are normally inhibited. Heating could deactivate inhibitor which might trigger polymerisation. These products have a strong smell.

1. Butterworth with ambient temperature sea water for 2 hours (Ambient temperature due to polymerization)
2. Butterworth with sea water at 60 °C to 70 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry",
M+,"Acrylates are liable to polymerisation and are normally inhibited. Heating could deactivate inhibitor which might trigger polymerisation. These products have a strong smell.

1. Butterworth with ambient temperature sea water for 2 hours (Ambient temperature due to polymerization)
2. Butterworth with sea water at 60 °C to 70 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
M-,"Acrylates are liable to polymerisation and are normally inhibited. Heating could deactivate inhibitor which might trigger polymerisation. These products have a strong smell.

1. Butterworth with ambient temperature sea water for 2 hours (Ambient temperature due to polymerization)
2. Butterworth with sea water at 60 °C to 70 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
MA,"Acrylates are liable to polymerisation and are normally inhibited. Heating could deactivate the inhibitor which might trigger polymerisation. These products have a strong smell.

1. Butterworth with ambient temperature sea water for 2 hours (Ambient temperature due to polymerization)
2. Butterworth with sea water at 60 °C to 70 °C for 1 hour
3. Recirculation in fresh water at 50 °C to 70 °C for 1 hour and use one of these cleaners:
- Smell remover
- Acrylate neutralizer
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Optional Recirculation in fresh water at 50 °C to 60 °C for 1 hour and use one of these cleaners:
- Inhibitor remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)",
MA+,"Acrylates are liable to polymerisation and are normally inhibited. Heating could deactivate the inhibitor which might trigger polymerisation. These products have a strong smell.

1. Butterworth with ambient temperature sea water for 2 hours (Ambient temperature due to polymerization)
2. Butterworth with sea water at 60 °C to 70 °C for 1 hour
3. Recirculation in fresh water at 50 °C to 70 °C for 1 hour and use one of these cleaners:
- Smell remover
- Acrylate neutralizer
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Optional Recirculation in fresh water at 50 °C to 60 °C for 1 hour and use one of these cleaners:
- Inhibitor remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
7. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
MA-,"Acrylates are liable to polymerisation and are normally inhibited. Heating could deactivate the inhibitor which might trigger polymerisation. These products have a strong smell.

1. Butterworth with ambient temperature sea water for 2 hours (Ambient temperature due to polymerization)
2. Butterworth with sea water at 60 °C to 70 °C for 1 hour
3. Recirculation in fresh water at 50 °C to 70 °C for 1 hour and use one of these cleaners:
- Smell remover
- Acrylate neutralizer
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Optional Recirculation in fresh water at 50 °C to 60 °C for 1 hour and use one of these cleaners:
- Inhibitor remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
7. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
N,"Product is liable to polymerisation. Violent chemical reaction possible. Usually inhibited for transport and storage. Product has a strong smell

1. Butterworth with ambient temperature sea water for 2 hours (Ambient temperature due to polymerization)
2. Butterworth with sea water at a maximum temperature of 50 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry",
N+,"Product is liable to polymerisation. Violent chemical reaction possible. Usually inhibited for transport and storage. Product has a strong smell

1. Butterworth with ambient temperature sea water for 2 hours (Ambient temperature due to polymerization)
2. Butterworth with sea water at a maximum temperature of 50 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
N-,"Product is liable to polymerisation. Violent chemical reaction possible. Usually inhibited for transport and storage. Product has a strong smell

1. Butterworth with ambient temperature sea water for 2 hours (Ambient temperature due to polymerization)
2. Butterworth with sea water at a maximum temperature of 50 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
NA,"Product is liable to polymerisation. Violent chemical reaction possible. Usually inhibited for
transport and storage. Product has a strong smell.
1. Butterworth with ambient temperature sea water for 2 hours (Ambient temperature due to
polymerization)
2. Butterworth with sea water at a maximum temperature of 50 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 50 °C to 70 °C for 1 hour and use one of these
cleaners:
- Detergent
- Smell remover
- Inhibitor remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove
cleaner residues)",
NA+,"Product is liable to polymerisation. Violent chemical reaction possible. Usually inhibited for
transport and storage. Product has a strong smell.
1. Butterworth with ambient temperature sea water for 2 hours (Ambient temperature due to
polymerization)
2. Butterworth with sea water at a maximum temperature of 50 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 50 °C to 70 °C for 1 hour and use one of these
cleaners:
- Detergent
- Smell remover
- Inhibitor remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove
cleaner residues)
Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually 
be necessary to pass the wall wash standard.",
NA-,"Product is liable to polymerisation. Violent chemical reaction possible. Usually inhibited for
transport and storage. Product has a strong smell.
1. Butterworth with ambient temperature sea water for 2 hours (Ambient temperature due to
polymerization)
2. Butterworth with sea water at a maximum temperature of 50 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 50 °C to 70 °C for 1 hour and use one of these
cleaners:
- Detergent
- Smell remover
- Inhibitor remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove
cleaner residues)
Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
NB,"1. Butterworth with ambient temperature sea water for 1 hour
2. Butterworth with sea water at 50 °C to 55 °C for 1 hour
3. Recirculation in fresh water at 50 °C to 70 °C for 1 hour and use one of these cleaners:
- Detergent
- Smell remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry",
NB+,"1. Butterworth with ambient temperature sea water for 1 hour
2. Butterworth with sea water at 50 °C to 55 °C for 1 hour
3. Recirculation in fresh water at 50 °C to 70 °C for 1 hour and use one of these cleaners:
- Detergent
- Smell remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
NB-,"1. Butterworth with ambient temperature sea water for 1 hour
2. Butterworth with sea water at 50 °C to 55 °C for 1 hour
3. Recirculation in fresh water at 50 °C to 70 °C for 1 hour and use one of these cleaners:
- Detergent
- Smell remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
NC,"1. Butterworth with sea water at 50 °C to 55 °C for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Recirculation in sea water or fresh water at 50 °C to 70 °C for 1 hour and use one of these cleaners:
- Detergent
- Smell remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry",
NC+,"1. Butterworth with sea water at 50 °C to 55 °C for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Recirculation in sea water or fresh water at 50 °C to 70 °C for 1 hour and use one of these cleaners:
- Detergent
- Smell remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
NC-,"1. Butterworth with sea water at 50 °C to 55 °C for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Recirculation in sea water or fresh water at 50 °C to 70 °C for 1 hour and use one of these cleaners:
- Detergent
- Smell remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
ND,"1. Butterworth with ambient temperature sea water for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Recirculation in sea water or fresh water at 50 °C to 70 °C for 1 hour and use one of these cleaners:
- Detergent
- Smell remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry",
ND+,"1. Butterworth with ambient temperature sea water for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Recirculation in sea water or fresh water at 50 °C to 70 °C for 1 hour and use one of these cleaners:
- Detergent
- Smell remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
ND-,"1. Butterworth with ambient temperature sea water for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours
3. Recirculation in sea water or fresh water at 50 °C to 70 °C for 1 hour and use one of these cleaners:
- Detergent
- Smell remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
O,"Various different grades ranging from low to high viscosity. The necessary cleaning time depends on product viscosity.

1. Butterworth with sea water at 75 °C to 80 °C for 1,5 hours (Start with moderate temperature water and increase to maximum temperature after 20-30 minutes.)
2. Recirculation in sea water or fresh water at 65 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry",
O+,"Various different grades ranging from low to high viscosity. The necessary cleaning time depends on product viscosity.

1. Butterworth with sea water at 75 °C to 80 °C for 1,5 hours (Start with moderate temperature water and increase to maximum temperature after 20-30 minutes.)
2. Recirculation in sea water or fresh water at 65 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
O-,"Various different grades ranging from low to high viscosity. The necessary cleaning time depends on product viscosity.

1. Butterworth with sea water at 75 °C to 80 °C for 1,5 hours (Start with moderate temperature water and increase to maximum temperature after 20-30 minutes.)
2. Recirculation in sea water or fresh water at 65 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
